point_id,angle,direction,filename
-Q3v7TPJOyBkamFiGXviCg,180,back,pano_-Q3v7TPJOyBkamFiGXviCg_h180.jpg
-Q3v7TPJOyBkamFiGXviCg,270,left,pano_-Q3v7TPJOyBkamFiGXviCg_h270.jpg
-SQEuioaR21XzLCfgaAO4Q,0,front,pano_-SQEuioaR21XzLCfgaAO4Q_h0.jpg
-SQEuioaR21XzLCfgaAO4Q,90,right,pano_-SQEuioaR21XzLCfgaAO4Q_h90.jpg
-SQEuioaR21XzLCfgaAO4Q,180,back,pano_-SQEuioaR21XzLCfgaAO4Q_h180.jpg
-SQEuioaR21XzLCfgaAO4Q,270,left,pano_-SQEuioaR21XzLCfgaAO4Q_h270.jpg
-T_s18Dq8xKKIAdoPc9LTg,0,front,pano_-T_s18Dq8xKKIAdoPc9LTg_h0.jpg
-T_s18Dq8xKKIAdoPc9LTg,90,right,pano_-T_s18Dq8xKKIAdoPc9LTg_h90.jpg
-T_s18Dq8xKKIAdoPc9LTg,180,back,pano_-T_s18Dq8xKKIAdoPc9LTg_h180.jpg
-T_s18Dq8xKKIAdoPc9LTg,270,left,pano_-T_s18Dq8xKKIAdoPc9LTg_h270.jpg
-Tb2V7p_U-GDtBpkUpSeCA,0,front,pano_-Tb2V7p_U-GDtBpkUpSeCA_h0.jpg
-Tb2V7p_U-GDtBpkUpSeCA,90,right,pano_-Tb2V7p_U-GDtBpkUpSeCA_h90.jpg
-Tb2V7p_U-GDtBpkUpSeCA,180,back,pano_-Tb2V7p_U-GDtBpkUpSeCA_h180.jpg
-Tb2V7p_U-GDtBpkUpSeCA,270,left,pano_-Tb2V7p_U-GDtBpkUpSeCA_h270.jpg
-U3zzTweIXxMST4V8ISGBA,0,front,pano_-U3zzTweIXxMST4V8ISGBA_h0.jpg
-U3zzTweIXxMST4V8ISGBA,90,right,pano_-U3zzTweIXxMST4V8ISGBA_h90.jpg
-U3zzTweIXxMST4V8ISGBA,180,back,pano_-U3zzTweIXxMST4V8ISGBA_h180.jpg
-U3zzTweIXxMST4V8ISGBA,270,left,pano_-U3zzTweIXxMST4V8ISGBA_h270.jpg
-Ue02gJltv-6hMQ-4JgV1A,0,front,pano_-Ue02gJltv-6hMQ-4JgV1A_h0.jpg
-Ue02gJltv-6hMQ-4JgV1A,90,right,pano_-Ue02gJltv-6hMQ-4JgV1A_h90.jpg
-Ue02gJltv-6hMQ-4JgV1A,180,back,pano_-Ue02gJltv-6hMQ-4JgV1A_h180.jpg
-Ue02gJltv-6hMQ-4JgV1A,270,left,pano_-Ue02gJltv-6hMQ-4JgV1A_h270.jpg
-V6MYOFqc97rUtX4yto1vA,0,front,pano_-V6MYOFqc97rUtX4yto1vA_h0.jpg
-V6MYOFqc97rUtX4yto1vA,90,right,pano_-V6MYOFqc97rUtX4yto1vA_h90.jpg
-V6MYOFqc97rUtX4yto1vA,180,back,pano_-V6MYOFqc97rUtX4yto1vA_h180.jpg
-V6MYOFqc97rUtX4yto1vA,270,left,pano_-V6MYOFqc97rUtX4yto1vA_h270.jpg
-Wq89FUiQEZn0ROcktvJag,0,front,pano_-Wq89FUiQEZn0ROcktvJag_h0.jpg
-Wq89FUiQEZn0ROcktvJag,90,right,pano_-Wq89FUiQEZn0ROcktvJag_h90.jpg
-Wq89FUiQEZn0ROcktvJag,180,back,pano_-Wq89FUiQEZn0ROcktvJag_h180.jpg
